微博id,微博url,评论id,评论者url,评论者名字,评论时间,评论内容
7319d5a2a588f3ef473d7ab8f74bbf74,http://weibo.comhttp://weibo.com/1792702427/E1DV4hfol,4003955359505914,http://weibo.com/yuenchong,请叫我丸大将yun,8月2日 09:20 ,"
            出不出门，老板说了算，请问沿江高速什么时候解除封闭？ "
7319d5a2a588f3ef473d7ab8f74bbf74,http://weibo.comhttp://weibo.com/1792702427/E1DV4hfol,4003930385796641,http://weibo.com/hdm0808,Coco洪,8月2日 07:40 ,"
            昨晚噼里啪啦响，都睡的不好，今天还得上班，停公车停地铁，还是得上班，公司真的太无爱了！下个规定，大厦停电，这不就不上班了吗 "
7319d5a2a588f3ef473d7ab8f74bbf74,http://weibo.comhttp://weibo.com/1792702427/E1DV4hfol,4003919594534577,http://weibo.com/2197003764,不靠脸混饭吃,8月2日 06:58 ,"
            女友ICU 护士，现在就得去医院接班，心疼 "
7319d5a2a588f3ef473d7ab8f74bbf74,http://weibo.comhttp://weibo.com/1792702427/E1DV4hfol,4003948039911445,http://weibo.com/5821212131,厚德载物-333,8月2日 08:51 ,"
            终于不堵车啦，这一路开的爽 "
7319d5a2a588f3ef473d7ab8f74bbf74,http://weibo.comhttp://weibo.com/1792702427/E1DV4hfol,4003919930004706,http://weibo.com/1158879021,爱上深圳无需理由,8月2日 06:59 ,"
            蜀黍辛苦了，你们是城市的守护者，感谢有你们！天气恶劣，你们也要保证安全，你们的家人和我们都期待你们平安！ "
7319d5a2a588f3ef473d7ab8f74bbf74,http://weibo.comhttp://weibo.com/1792702427/E1DV4hfol,4003918717157607,http://weibo.com/3317994930,San_Tity,8月2日 06:54 ,"
            辛苦了   "
7319d5a2a588f3ef473d7ab8f74bbf74,http://weibo.comhttp://weibo.com/1792702427/E1DV4hfol,4003918910442757,http://weibo.com/1965732734,山谷里de野百合,8月2日 06:55 ,"
            辛苦了！ "
7319d5a2a588f3ef473d7ab8f74bbf74,http://weibo.comhttp://weibo.com/1792702427/E1DV4hfol,4003964745507432,http://weibo.com/hhy9003,YanA_h,8月2日 09:57 ,"
            交警蜀黍辛苦了 感动 "
7319d5a2a588f3ef473d7ab8f74bbf74,http://weibo.comhttp://weibo.com/1792702427/E1DV4hfol,4003918067263211,http://weibo.com/H92930401,我姓胡却过的糊里糊涂,8月2日 06:51 ,"
            风不是一般大，6楼的门窗吹的响的很 "
7319d5a2a588f3ef473d7ab8f74bbf74,http://weibo.comhttp://weibo.com/1792702427/E1DV4hfol,4005417673271849,http://weibo.com/liuweilin,假装在革命,8月6日 10:10 ,"
            回复@背枕头的蜗牛:上班重要还是生命重要？直接不去！ "
